slug,name,brand,category,price,specs,features,description,ideal_for,efficiency,img,pop,best,visible
caldera-bosch-condens-4300i-w-24-25,Caldera Bosch Condens 4300i W 24/25,Junkers (grupo Bosch),calderas,1400,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La Caldera Bosch Condens 4300i W 24/25 es la elección ideal para hogares que buscan eficiencia y confort, proporcionando calefacción potente y agua caliente de manera rápida y eficaz. Potencia eficiente: 24 kW para calefacción, 25 kW para ACS Eficiencia energética: Hasta 94% con opción de A+ con controladores modulantes Diseño compacto: Dimensiones reducidas con montaje modular",,,productos/caldera-bosch-condens-4300i-w-24-25.jpg,100,false,false
caldera-bosch-condens-gc1200-w-20-24,Caldera Bosch Condens GC1200 W 20/24,Junkers (grupo Bosch),calderas,1200,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La Caldera Bosch Condens GC1200 W 20/24 es la elección ideal para hogares que buscan eficiencia y confort, proporcionando calefacción potente y agua caliente de manera rápida y eficaz. Potencia eficiente: 20 kW para calefacción, 24 kW para ACS Eficiencia energética: Hasta 94% con opción de A+ con controladores modulantes Diseño compacto: Dimensiones reducidas con montaje modular",,,productos/caldera-bosch-condens-gc1200-w-20-24.jpg,101,false,false
aire-acondicionado-1x1-samsung-ar40h12c-wifi,Aire Acondicionado 1×1 Samsung AR40H12C WiFi,Samsung,aires,650,,,"El aire acondicionado split 1x1 Samsung AR40H09C WiFi ofrece la climatización ideal para estancias de entre 15 y 22 m². Gracias a su potencia de 2.236 frigorías (2,6 kW) y a su avanzada tecnología Digital Inverter, garantiza un enfriamiento rápido y eficiente con una clasificación energética A++, cuidando tanto de tu confort como de tu factura eléctrica. Este modelo destaca por incluir conectividad WiFi de serie para controlarlo desde el móvil con la app SmartThings, un funcionamiento supersilencioso de solo 20 dB ideal para dormitorios, y un filtro de alta densidad que purifica el aire de alérgenos y polvo. Todo ello impulsado por el gas ecológico R32 de última generación.",,,productos/aire-acondicionado-1x1-samsung-ar40h12c-wifi.png,102,false,false
aire-acondicionado-1x1-saunier-duval-sdhb1-035-nw,Aire Acondicionado 1×1 Saunier Duval SDHB1-035 NW,Saunier Duval,aires,750,,,"El nuevo Saunier Duval VivAir Lite SDHB1-035NW es la solución ideal de climatización para quienes buscan el equilibrio perfecto entre alta eficiencia energética, confort acústico y tecnología avanzada. Con una potencia de 3,5 kW en refrigeración (unas 3.010 frigorías), este equipo tipo split 1x1 está diseñado para climatizar a la perfección estancias de entre 16 y 24 m², garantizando un ambiente óptimo tanto en los meses más calurosos del verano como en invierno gracias a su sistema de bomba de calor.",,,productos/aire-acondicionado-1x1-saunier-duval-sdhb1-035-nw.jpg,103,false,false
daikin-perfera-txm25r,Daikin Perfera TXM25R,Aire acondicionado Daikin en Madrid,aires,1350,Recomendado para estancias: 20 | Eficiencia energetica: A+++,,"El Daikin Perfera TXM25R es la solución ideal para climatizar espacios de hasta 20 m², combinando eficiencia energética y tecnología avanzada para un confort óptimo. Su diseño silencioso y su capacidad de purificación del aire lo convierten en una opción destacada para cualquier hogar. Potencia Frigorífica: 2,5 kW Potencia Calorífica: 2,8 kW Refrigerante: Gas R32 Control Inteligente: Integración WiFi Tecnología de Purificación: Flash Streamer",,,productos/daikin-perfera-txm25r.jpg,104,false,false
aire-acondicionado-1x1-samsung-ar40h09c-wifi,Aire Acondicionado 1×1 Samsung AR40H09C WiFi,Samsung,aires,595,,,"El aire acondicionado split 1x1 Samsung AR40H09C WiFi ofrece la climatización ideal para estancias de entre 15 y 22 m². Gracias a su potencia de 2.236 frigorías (2,6 kW) y a su avanzada tecnología Digital Inverter, garantiza un enfriamiento rápido y eficiente con una clasificación energética A++, cuidando tanto de tu confort como de tu factura eléctrica. Este modelo destaca por incluir conectividad WiFi de serie para controlarlo desde el móvil con la app SmartThings, un funcionamiento supersilencioso de solo 20 dB ideal para dormitorios, y un filtro de alta densidad que purifica el aire de alérgenos y polvo. Todo ello impulsado por el gas ecológico R32 de última generación.",,,productos/aire-acondicionado-1x1-samsung-ar40h09c-wifi.png,105,false,false
saunier-duval-thematek-condens-24,Saunier Duval ThemaTek Condens 24 con SRT 50/2 CAB,Saunier Duval,calderas,1400,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera Saunier Duval ThemaTek Condens 24 garantiza un hogar cálido y eficiente, combinando tecnología de condensación avanzada con un diseño moderno y duradero. Potencia eficiente: 23,4 kW para calefacción, 23,3 kW para agua caliente sanitaria Caudal óptimo: 13,8 litros por minuto Intercambiador de silicio: Mayor rendimiento y durabilidad",,,productos/saunier-duval-thematek-condens-24.jpg,106,false,false
saunier-duval-thematek-condens-28,Saunier Duval ThemaTek Condens 28 con SRT 50/2 CAB,Saunier Duval,calderas,1500,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera Saunier Duval ThemaTek Condens 28 garantiza un hogar cálido y eficiente, combinando tecnología de condensación avanzada con un diseño moderno y duradero. Potencia eficiente: 27,3 kW para calefacción, 27,5 kW para agua caliente sanitaria Caudal óptimo: 14,6 litros por minuto a 25 ºC Intercambiador de silicio: Mayor rendimiento y durabilidad",,,productos/saunier-duval-thematek-condens-28.jpg,107,false,false
vaillant-ecotec-intro-vmw-28-28-con-vrt50-2-cab,Vaillant EcoTec Intro VMW 28/28 con VRT50/2 CAB,Vaillant,calderas,1500,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La Caldera Vaillant EcoTec Intro VMW 28/28 garantiza un hogar cálido y eficiente, combinando tecnología de condensación avanzada con un diseño moderno y duradero. Potencia eficiente: 27,3 kW para calefacción, 27,5 kW para agua caliente sanitaria Caudal óptimo: 14,6 litros por minuto a 25 ºC Intercambiador de silicio: Mayor rendimiento y durabilidad",,,productos/vaillant-ecotec-intro-vmw-28-28-con-vrt50-2-cab.webp,108,false,false
vaillant-ecotec-intro-vmw-24-24,Vaillant EcoTec Intro VMW 24/24 con VRT50/2 CAB,Vaillant,calderas,1400,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera Vaillant EcoTec Intro VMW 24/24 garantiza un hogar cálido y eficiente, combinando tecnología de condensación avanzada con un diseño moderno y duradero. Potencia eficiente: 23,4 kW para calefacción, 23,3 kW para agua caliente sanitaria Caudal óptimo: 13,8 litros por minuto Intercambiador de silicio: Mayor rendimiento y durabilidad",,,productos/vaillant-ecotec-intro-vmw-24-24.webp,109,false,false
ferroli-giada-s-9-wifi,Ferroli Giada S 9 Wifi,Ferroli,aires,550,Recomendado para estancias: 20+20+20 | Eficiencia energetica: A++,,"El Ferroli Giada S 9 Wifi es un avanzado sistema de climatización que combina eficiencia energética y tecnología de vanguardia. Diseñado para ofrecer confort y sostenibilidad, este aire acondicionado es ideal para quienes buscan un ambiente saludable y controlado desde cualquier lugar. Refrigerante ecológico: R32 Capacidad Frigorífica: 2,77 kW Control inteligente: Compatible con Google Home y Amazon Alexa",,,productos/ferroli-giada-s-9-wifi.jpg,110,false,false
ferroli-giada-s-12-wifi,Ferroli Giada S 12 Wifi,Ferroli,aires,600,Recomendado para estancias: 50 | Eficiencia energetica: A,,"El aire acondicionado Ferroli Giada S 12 Wifi combina eficiencia energética y tecnología avanzada para ofrecer un confort superior. Equipado con un sistema de control WIFI compatible con Google Home y Amazon Alexa, este modelo garantiza un manejo sencillo y eficiente. Refrigerante ecológico: R32 Capacidad Frigorífica: 3,35 kW Clasificación energética: A++ en frío, A+++ en calor",,,productos/ferroli-giada-s-12-wifi.jpg,111,false,false
ferroli-multisplit-2x1-giada-m-912-wifi,Ferroli Multisplit 2×1 Giada M 9+12 Wifi,Ferroli,aires,1100,Recomendado para estancias: 20 | Eficiencia energetica: A++,,"El Ferroli Multisplit 2x1 Giada M 9+12 Wifi es la solución ideal para climatizar múltiples espacios con eficiencia y conectividad avanzada. Este sistema combina tecnología de punta con un diseño elegante, asegurando un ambiente confortable y saludable en tu hogar. Potencia Frigorífica: 5.275 W (4.558 frig/h) Potencia Calorífica: 5.570 W (4.812 kcal/h) Filtración Avanzada: BIO HEPA, COLD CATALYST, CARBÓN ACTIVO, SILVER ION Conectividad: WIFI de serie Clase Energética: A++/A+++",,,productos/ferroli-multisplit-2x1-giada-m-912-wifi.jpg,112,false,false
ferroli-giada-s-18-wifi,Ferroli Giada S 18 Wifi,Ferroli,aires,900,Recomendado para estancias: 20+30 | Eficiencia energetica: A++,,"El Ferroli Giada S 18 Wifi es un avanzado sistema de climatización que combina eficiencia energética y tecnología de vanguardia. Diseñado para ofrecer confort y sostenibilidad, este aire acondicionado es ideal para quienes buscan un ambiente saludable y controlado desde cualquier lugar. Refrigerante Ecológico: R32 Capacidad Frigorífica: 5,27 kW Control Inteligente: Compatible con Google Home y Amazon Alexa",,,productos/ferroli-giada-s-18-wifi.jpg,113,false,false
ferroli-giada-s-24-wifi,Ferroli Giada S 24 Wifi,Ferroli,aires,1200,Recomendado para estancias: 50 | Eficiencia energetica: A++,,"El Ferroli Giada S 24 Wifi es un avanzado sistema de climatización que combina eficiencia energética y tecnología de vanguardia. Diseñado para ofrecer confort y sostenibilidad, este aire acondicionado es ideal para quienes buscan un ambiente perfecto en cualquier estación del año. Refrigerante Ecológico: R32 Capacidad Frigorífica: 5,86 kW Control Inteligente: Compatible con Google Home y Amazon Alexa",,,productos/ferroli-giada-s-24-wifi.jpg,114,false,false
giatsu-aroma-gia-s09-ar2d32,Giatsu Aroma GIA-S09 AR2D32,Giatsu,aires,600,Recomendado para estancias: 20+20 | Eficiencia energetica: A++,,"El aire acondicionado Giatsu Aroma GIA-S09 AR2D32 es la solución perfecta para mantener tu hogar fresco y confortable. Con tecnología Inverter y eficiencia energética A++, este equipo es ideal para estancias de hasta 22 m², garantizando un rendimiento óptimo y un consumo reducido. Capacidad frigorífica: 2250 fg/h Capacidad calorífica: 2500 Kcal/h Garantía: 3 años total, 5 años en compresor",,,productos/giatsu-aroma-gia-s09-ar2d32.jpg,115,false,false
giatsu-2x1-gia-mo2-14ix41b2r3209ar2dr3212ar2dr32,GIATSU 2×1 GIA-MO2-14IX41B2R32+09AR2DR32+12AR2DR32,Giatsu,aires,1200,Recomendado para estancias: 20+30 | Eficiencia energetica: A++,,Optimiza tu confort con el aire acondicionado GIATSU 2x1 GIA-MO2-14IX41B2R32+09AR2DR32+12AR2DR32. Este sistema multisplit combina eficiencia energética y tecnología avanzada para ofrecer un ambiente ideal en tu hogar. Disfruta de un rendimiento silencioso y control remoto a través de WiFi. Eficiencia Energética: A++ en frío y calor Capacidad Frigorífica: 3.526 frigorías Nivel Sonoro: 21 dB,,,productos/giatsu-2x1-gia-mo2-14ix41b2r3209ar2dr3212ar2dr32.jpg,116,false,false
giatsu-aroma-gia-s24-ard32,Giatsu Aroma GIA-S24 ARD32,Giatsu,aires,1300,Eficiencia energetica: A++,,"El aire acondicionado Giatsu Aroma GIA-S24 ARD32 es la solución perfecta para mantener tu hogar fresco y confortable. Con tecnología Inverter y eficiencia energética A++, este equipo garantiza un rendimiento óptimo y ahorro en el consumo eléctrico. Capacidad frigorífica: 6000 fg/h Capacidad calorífica: 6250 Kcal/h Garantía: 3 años total, 5 años en compresor",,,productos/giatsu-aroma-gia-s24-ard32.jpg,117,false,false
giatsu-aroma-gia-s12-ar2d32,Giatsu Aroma GIA-S12 AR2D32,Giatsu,aires,550,Recomendado para estancias: 30 | Eficiencia energetica: A++,,"El aire acondicionado Giatsu Aroma GIA-S12 AR2D32 es la solución perfecta para mantener tu hogar fresco y confortable. Con tecnología Inverter y eficiencia energética A++, este equipo es ideal para estancias de hasta 30 m², garantizando un rendimiento óptimo y un consumo energético reducido. Capacidad Frigorífica: 3000 fg/h Capacidad Calorífica: 3250 Kcal/h Garantía: 3 años total, 5 años en compresor",,,productos/giatsu-aroma-gia-s12-ar2d32.jpg,118,false,false
giatsu-aroma-gia-s18-ard32,Giatsu Aroma GIA-S18 ARD32,Giatsu,aires,1100,Recomendado para estancias: 20+20+20 | Eficiencia energetica: A++,,"El aire acondicionado Giatsu Aroma GIA-S18 ARD32 es una solución eficiente y moderna para climatizar tu hogar. Con tecnología Inverter y una alta eficiencia energética, garantiza un ambiente confortable durante todo el año. Clase Energética: A++ Capacidad Frigorífica: 4500 fg/h Capacidad Calorífica: 4750 Kcal/h Garantía: 3 años total, 5 años en compresor Conectividad: Wifi opcional",,,productos/giatsu-aroma-gia-s18-ard32.jpg,119,false,false
aire-acondicionado-lg-multisplit-4x1-mu4r25-ulopc09qnsj-3pc12qnsj-1,Aire acondicionado LG Multisplit 4X1 MU4R25 ULO+PC09QNSJ (3)+PC12QNSJ (1),LG,aires,3000,Recomendado para estancias: 20+20+20+30 | Eficiencia energetica: A++,,"Optimiza tu confort con el Aire Acondicionado LG Multisplit 4X1 MU4R25 ULO+PC09QNSJ (3)+PC12QNSJ (1). Este sistema avanzado ofrece una climatización eficiente y silenciosa, ideal para cualquier hogar moderno. Eficiencia Energética: A+++/A+ Frigorías: 2200 Refrigerante: Gas R32",,,productos/aire-acondicionado-lg-multisplit-4x1-mu4r25-ulopc09qnsj-3pc12qnsj-1.jpg,120,false,false
aire-acondicionado-lg-multisplit-2x1-mu2r15-ulopc09qnsjpc09qnsj,Aire Acondicionado LG Multisplit 2X1 MU2R15 ULO+PC09QNSJ+PC09QNSJ,LG,aires,1480,Recomendado para estancias: 20+20 | Eficiencia energetica: A++,,"Optimiza tu confort con el Aire Acondicionado LG Multisplit 2X1 MU2R15 ULO+PC09QNSJ+PC09QNSJ. Este sistema avanzado ofrece una climatización eficiente y silenciosa, ideal para cualquier hogar moderno. Frigorías: 2200 Nivel sonoro: 19 dB Eficiencia energética: A+++A+",,,productos/aire-acondicionado-lg-multisplit-2x1-mu2r15-ulopc09qnsjpc09qnsj.jpg,121,false,false
aire-acondicionado-lg-conductos-cl18f,Aire Acondicionado LG Conductos CL18F,LG,aires,1465,Recomendado para estancias: 40 | Eficiencia energetica: A+,,"El Aire Acondicionado LG Conductos CL18F es la solución ideal para quienes buscan eficiencia y sostenibilidad. Con un diseño compacto y tecnología avanzada, garantiza un ambiente confortable durante todo el año. Capacidad de Refrigeración: 4.300 frigorías Capacidad Calorífica: 4.730 Kcal/h Refrigerante Ecológico: Gas R32",,,productos/aire-acondicionado-lg-conductos-cl18f.jpg,122,false,false
aire-acondicionado-lg-multisplit-3x1-mu3r19-ue0-3x1pc09qnsj-2pc12qnsj-1,Aire acondicionado LG Multisplit 3X1 MU3R19 UE0 3×1+PC09QNSJ (2)+PC12QNSJ (1),LG,aires,2000,Eficiencia energetica: A++,,"Optimiza tu confort con el Aire Acondicionado LG Multisplit 3X1 MU3R19 UE0, diseñado para ofrecer un rendimiento superior con eficiencia energética. Ideal para quienes buscan climatización avanzada y ahorro energético en su hogar. Frigorías: 2200 Nivel sonoro: 19 dB Gas refrigerante: R32",,,productos/aire-acondicionado-lg-multisplit-3x1-mu3r19-ue0-3x1pc09qnsj-2pc12qnsj-1.jpg,123,false,false
aire-acondicionado-lg-conductos-cm24f,Aire Acondicionado LG Conductos CM24F,LG,aires,,Recomendado para estancias: 70 | Eficiencia energetica: A++,,"El Aire Acondicionado LG Conductos CM24F es la elección ideal para quienes buscan eficiencia y sostenibilidad en climatización. Este sistema ofrece un rendimiento excepcional, asegurando confort y ahorro energético en cualquier espacio. Capacidad de Refrigeración: 5848 frigorías Capacidad Calorífica: 6450 Kcal/h Refrigerante Ecológico: Gas R32",,,productos/aire-acondicionado-lg-conductos-cm24f.jpg,124,false,false
aire-acondicionado-lg-multisplit-2x1-mu2r15-ulopc09qnsjpc12qnsj,Aire Acondicionado LG Multisplit 2X1 MU2R15 ULO+PC09QNSJ+PC12QNSJ,LG,aires,1450,Eficiencia energetica: A++,,"Optimiza tu confort con el Aire Acondicionado LG Multisplit 2X1 MU2R15 ULO+PC09QNSJ+PC12QNSJ. Este sistema avanzado ofrece una climatización eficiente y silenciosa, ideal para cualquier hogar moderno. Frigorías: 2200 Nivel sonoro: 19 dB Eficiencia energética: A+++/A+",,,productos/aire-acondicionado-lg-multisplit-2x1-mu2r15-ulopc09qnsjpc12qnsj.jpg,125,false,false
hisense-multisplit-3x1-3amw72u4rjc-cf25yr04g-cf35mr04g-cf35mr04g,Hisense multisplit 3×1 3AMW72U4RJC + CF25YR04G + CF35MR04G + CF35MR04G,Hisense,aires,1855,Recomendado para estancias: 30 | Eficiencia energetica: A++,,"Optimiza tu confort con el aire acondicionado Hisense multisplit 3x1 serie Style. Este sistema ofrece una potente unidad exterior de 6,2 kW y tres unidades interiores, ideal para climatizar diferentes espacios de tu hogar con eficiencia energética A++/A+ y tecnología ultrasilenciosa. Potencia de las unidades interiores: 2,5 kW y 3,5 kW Área recomendada: Hasta 32 m² Control inteligente: Wifi integrado",,,productos/hisense-multisplit-3x1-3amw72u4rjc-cf25yr04g-cf35mr04g-cf35mr04g.jpg,126,false,false
